;Tool  Pocket X Offset     Y Offset     Z Offset     Diameter     Remark
T99    P99    X+0.000000   Y+0.000000   Z+0.000000   D+2.000000   ; PROBE (Ia20E2)
T109   P109   X+0.000000   Y+0.000000   Z+0.000000   D+1.600000   ; Random (ebay) A - 1.6 x 8 Single Flute End (90zNr6)
T110   P110   X+0.000000   Y+0.000000   Z+0.000000   D+3.175000   ; HOZLY W - 3.175 x 22 mm Straight (VnyKy5)
T111   P111   X+0.000000   Y+0.000000   Z+0.000000   D+4.000000   ; Ali W - 4x20 Straight (v8rB3o)
T112   P112   X+0.000000   Y+0.000000   Z+0.000000   D+5.000000   ; HOZLY W - 5x22 Compression (A5H8F7)
T113   P113   X+0.000000   Y+0.000000   Z+0.000000   D+6.000000   ; HOZLY W - 6x25 Compression (9uv09m)
T114   P114   X+0.000000   Y+0.000000   Z+0.000000   D+6.000000   ; China W - 6x22 Compression (x8HxjF)
T115   P115   X+0.000000   Y+0.000000   Z+0.000000   D+6.000000   ; Vsharp etc W - 6x22 Straight (zLjdOo)
T116   P116   X+0.000000   Y+0.000000   Z+0.000000   D+6.000000   ; Generic W - 6x50 Straight (KBpA33)
T117   P117   X+0.000000   Y+0.000000   Z+0.000000   D+8.000000   ; vsharp etc W - 8x32 StraightSlot (RpxqTE)
T118   P118   X+0.000000   Y+0.000000   Z+0.000000   D+8.000000   ; vsharp etc W - 8x50 StraightSlot (QxQHIU)
T119   P119   X+0.000000   Y+0.000000   Z+0.000000   D+8.000000   ; HOZLY W - 8x42 Compression (Y3z5PR)
T120   P120   X+0.000000   Y+0.000000   Z+0.000000   D+10.000000  ; HOZLY W - 10 x42 Compression (fiiQhE)
T150   P150   X+0.000000   Y+0.000000   Z+0.000000   D+35.000000  ; Fraiser W - Facemill FRAISER (CyzBzk)
T151   P151   X+0.000000   Y+0.000000   Z+0.000000   D+50.800000  ; W - Facemill Wasteboard China Monster (kpzozj)
T201   P201   X+0.000000   Y+0.000000   Z+0.000000   D+6.000000   ; Sorotec A - Fasefräser 6x90 z2 (jDbG6Q)
T202   P202   X+0.000000   Y+0.000000   Z+0.000000   D+4.000000   ; HC Maschinentechnik.de A - VHM Spotdrill 4mm TiAin (5uZbzA)
T208   P208   X+0.000000   Y+0.000000   Z+0.000000   D+2.000000   ; Random (ebay) A - 2 x 8 PCB Drill  (0dmH1k)
T210   P210   X+0.000000   Y+0.000000   Z+0.000000   D+1.500000   ; ZCC.CT A - 1.5x4.0 ZCC-CT AL-2E-D1.5 (M9szsG)
T211   P211   X+0.000000   Y+0.000000   Z+0.000000   D+2.000000   ; ZCC.CT A - 2x6.0 ZCC-CT AL-2E-D2.0 (HRBLzl)
T212   P212   X+0.000000   Y+0.000000   Z+0.000000   D+2.000000   ; FGEDCS A - 2x6.0 ZCC-CT AL-2E-D2.0A - 2XD4X50X3F (ijPBSW)
T213   P213   X+0.000000   Y+0.000000   Z+0.000000   D+3.000000   ; ZCC.CT A - 3.0x6.0 ZCC-CT AL-2E-D3.0 (gt6Wk5)
T214   P214   X+0.000000   Y+0.000000   Z+0.000000   D+3.000000   ; FGEDCS A - 3XD4 3F DLC (9KXIb9)
T215   P215   X+0.000000   Y+0.000000   Z+0.000000   D+3.000000   ; ULTRATOOL A - 3x12 End (sBKIq4)
T216   P216   X+0.000000   Y+0.000000   Z+0.000000   D+4.000000   ; ZCC-CT A - 4x12 End ZCC-CT (O2pxNk)
T217   P217   X+0.000000   Y+0.000000   Z+0.000000   D+4.000000   ; ZCC-CT A - 4x16 EL ZCC-CT (FFt4n5)
T218   P218   X+0.000000   Y+0.000000   Z+0.000000   D+3.175000   ; BB A- 3.175 x 12 BB (tDIytL)
T220   P220   X+0.000000   Y+0.000000   Z+0.000000   D+3.000000   ; Sorotec A - 3x11 Z1 End (fmpfcJ)
T221   P221   X+0.000000   Y+0.000000   Z+0.000000   D+3.000000   ; Sorotec A - 3x22 Z1 End (4pqncK)
T222   P222   X+0.000000   Y+0.000000   Z+0.000000   D+5.000000   ; Sorotec A - 5x16 Z1 Alu (aByBkD)
T223   P223   X+0.000000   Y+0.000000   Z+0.000000   D+5.000000   ; China Generic A - 5x22 Z1 China Generic (g7PNET)
T225   P225   X+0.000000   Y+0.000000   Z+0.000000   D+8.000000   ; China Generic A - 8x22 Z1 China Generic (de58TI)
T226   P226   X+0.000000   Y+0.000000   Z+0.000000   D+8.000000   ; Sorotec A - 8x36 Z1 ProAlu Sorotec (tOBHCw)
T230   P230   X+0.000000   Y+0.000000   Z+0.000000   D+6.000000   ; Gladium A - 6x11 End Gladium P (JrGNLR)
T231   P231   X+0.000000   Y+0.000000   Z+0.000000   D+6.000000   ; Gladium A - 6x18 End Gladium S (6SvAxX)
T232   P232   X+0.000000   Y+0.000000   Z+0.000000   D+6.000000   ; ZCC-CT A - 6x19 End ZCC-CT (K5znP8)
T233   P233   X+0.000000   Y+0.000000   Z+0.000000   D+6.000000   ; ZCC-CT A - 6x25 End ZCC-CT (QZ84Xo)
T234   P234   X+0.000000   Y+0.000000   Z+0.000000   D+6.000000   ; FGEDCS  A - 6x15 End FGEDCS  (4WIIpL)
T235   P235   X+0.000000   Y+0.000000   Z+0.000000   D+8.000000   ; ZCC-CT A - 8x32 End ZCC-CT (bxUWro)
T236   P236   X+0.000000   Y+0.000000   Z+0.000000   D+8.000000   ; https://de.aliexpress.com/item/1005002967376112.html?gatewayAdapt=glo2deu&spm=a2g0o.9042311.0.0.27424c4dnyZM4W A - 8x24 End FGEDCS 3F (U5JM8a)
T237   P237   X+0.000000   Y+0.000000   Z+0.000000   D+8.000000   ; BB A - 8x30 End BB 3F (5UoR9G)
T238   P238   X+0.000000   Y+0.000000   Z+0.000000   D+8.000000   ; BB A - 8x32 End BB Rougher 3F (6F6XKA)
T240   P240   X+0.000000   Y+0.000000   Z+0.000000   D+10.000000  ; ZCC CT A - 10x30 End ZCC CT 3F (e2KMv0)
T241   P241   X+0.000000   Y+0.000000   Z+0.000000   D+10.000000  ; Sorotec / Ultratool A - 10x30 End Sorotec (INNi1L)
T242   P242   X+0.000000   Y+0.000000   Z+0.000000   D+10.000000  ; Gladium A - 10x30 End Gladium DLC 3F (czJGsj)
T243   P243   X+0.000000   Y+0.000000   Z+0.000000   D+10.000000  ; FGEDCS A - 10x30 End FGEDCS DLC 3F (WJEnAG)
T244   P244   X+0.000000   Y+0.000000   Z+0.000000   D+12.000000  ; FTT A - 12x30 End FTT 2F (n1xJSq)
T245   P245   X+0.000000   Y+0.000000   Z+0.000000   D+8.000000   ; Gladium A - 8x24 End Gladium S (tI6dDK)
T246   P246   X+0.000000   Y+0.000000   Z+0.000000   D+8.000000   ; ULTRATOOL A - 8x25 End Ultratool (9t0NPw)
T250   P250   X+0.000000   Y+0.000000   Z+0.000000   D+21.000000  ; Inserts: APKT1135PDFR-MA (Korloy) A - TAP300R 21-M10-2t (sOlhqv)
T251   P251   X+0.000000   Y+0.000000   Z+0.000000   D+40.000000  ; Inserts: APKT1135PDFR-MA 300R 40-22 (HUWsSg)
T252   P252   X+0.000000   Y+0.000000   Z+0.000000   D+50.000000  ; Inserts: RCGT10T3M0E-AK (Korloy) A - EMR5R-50-22-4T (wsswAD)
